review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp
28642ce6250b94cc72bc85960aec6c62,e239d280236cdd3c40cb2c033f681d1c,5,,,2018-03-25 00:00:00,2018-03-25 21:03:02
45d1572f5bfca2707ae6748265f8169a,bdf7cbcf2a174866c15ade0d9a55bf7d,1,,Só recebemos 1 cartucho já abrimos reclamação no site e ainda não obtive resposta.,2018-04-13 00:00:00,2018-04-16 12:34:37
63dad32552f7bfca67cff64eadc6389b,32c49c2531dd2c94af0c74906c13abcd,2,,,2018-04-10 00:00:00,2018-04-10 15:28:44
dbf9d4970b938fa69a82686010bd2549,2b86487ced52ef357d5454397ff5538a,4,Gostei,produto chegou dentro do prazo,2018-04-27 00:00:00,2018-04-28 21:12:47
2f8cfa1262cede1800e59c54f6c49685,68265b6cfdb0170c7068b6738b6272dc,5,,,2018-04-14 00:00:00,2018-04-14 23:09:31
53ac2ffe3433087dece947e8d6c8295c,2276cb7758bd76c104cd5a3971f47e9e,4,,,2018-04-17 00:00:00,2018-04-18 00:33:47
6fd700eb9e05bb3b4c3efde32e71b2d5,169702628c1e366110072edf38460701,4,,,2018-03-13 00:00:00,2018-03-14 12:09:41
01a0d621bce692648cb36634829a63a1,12b565379c9d4cf9752858a558325014,1,,O produto que veio não é original HP. Fui enganada,2018-03-21 00:00:00,2018-03-21 19:00:45
af6b640dc8653ef2dadf9ada85c1daa2,69cc55eb653cc27eea935e7a0d26b83a,5,,,2018-04-28 00:00:00,2018-04-30 01:12:59
c97a9791ae651d85c75a27e9df56d7d1,00bd2cb7e9076e1ccc9f766fc01a4cfd,1,Cartucho HP Genérico,Cartucho genérico sendo vendido como original.,2018-05-01 00:00:00,2018-05-22 18:23:54
e2a385fb00dc78fece292094e8e1829d,ba9cbecc6a528dc98683accf4656c945,1,,Recebi um produto falso. Já entrei em contato pedindo devolução,2018-05-04 00:00:00,2018-05-07 19:35:12
fa224b6af02d9a33acc234086fd384fc,2b091bda8d69a64119fa4ec34147f946,5,,,2018-03-23 00:00:00,2018-03-27 11:25:52
2ef3d6a66bdc31337a9f65201ac61713,10b5d5c95177be116333e9a65a6fdea4,5,,,2018-03-14 00:00:00,2018-03-19 19:08:23
98f436522dd84497b7506abd5b514500,98b3b28db55c9f6e365c56f05004d3b5,4,,,2018-05-16 00:00:00,2018-05-17 01:40:57
4d7a12c9eff99c68356d6e96f6e3192c,671f3f58a12caea363c9e40989c7d154,5,,Tudo ok com a compra. Chegou antes do prazo.,2018-04-10 00:00:00,2018-04-10 21:03:23
af1d36248ce42f1968ac55cfc7c05b92,378f58a3d4b989b3517b56488dc4e3cf,1,,"Veio faltando um cartucho, só me enviaram 1",2018-04-03 00:00:00,2018-04-05 22:42:03
79a084f0010620cafbbbca2e09b44dd4,74b1932a11b0d28d122ee5572b5ea7d1,4,,Não posso indicar a loja de ainda não recebi o produto. Estou no aguardo da entrega,2018-03-24 00:00:00,2018-03-26 11:01:17
0e12f3550592e2f4d448a94121d64cf6,c1d50cc9e54ae4ea935717337e55d269,5,,,2018-04-12 00:00:00,2018-04-13 19:27:15
50bded1cc0e6836ab870c9373ed99ef0,f18481fd839eabadc3d84dc73eead362,4,,,2018-04-17 00:00:00,2018-04-18 10:04:23
c8ec96c2cbcc3235afa2088ce2550c93,b62001b38d12c99ffbafa1c609797348,1,,Comprei dois kits e recebi apenas 1,2018-04-17 00:00:00,2018-04-18 12:48:34
a74ab816e8c727d7c3456bc1e6e241b0,10d9a4341b71723e4e9f55a51d649207,4,,,2018-05-15 00:00:00,2018-05-16 11:43:04
b377cb8dad191d597c78ee7c346be59d,09bfed54145e573d48e1685dcf11fb6c,5,,,2018-05-08 00:00:00,2018-05-10 14:10:19
75063e46dc568ebfc4ccda0d8e28c245,86f21bf63784876b9fd6d35f46581d72,1,Regular,"Os outros produtos, a loja ofereceu mas não cumpriu com a entrega.",2018-04-28 00:00:00,2018-04-30 20:44:11
b0f0833a157dbb3d33ac2bf891aeacdb,ba3dfe274b92578ad6af3b17d141033c,5,,,2018-03-27 00:00:00,2018-03-28 04:52:20
f6697c4a586421ee0d4d40e3fa7defc2,d0e9399904d8a9d40da9642d0023383e,5,,,2018-03-18 00:00:00,2018-03-21 11:25:39
5b49789399520b7e3b2bbf62a0163812,50dfcf67e810d36666fa94f1a77c6d49,5,,,2018-03-21 00:00:00,2018-03-24 06:38:45
7b30f2193e9f14eb4ae592f8471a68e5,5f766dfc65eff86be5b3015dbce0e2c6,5,,"Ótimo vendedor , entregue dentro do prazo, material correto.Recomendo.",2018-04-25 00:00:00,2018-04-25 23:47:16
0b7beff6f5ca5939c80a33decf2a4f49,44699b6718b35247c4ae1e798d0ec533,5,,,2018-04-17 00:00:00,2018-04-17 22:24:27
3516d5275003912e64f258c8687fc4f6,d9eecffc625e888de8f4faaa0d98d3b4,5,,,2018-04-19 00:00:00,2018-04-20 00:53:39
0bd6579f6a44c3ddee45ced1a2124e1b,5afbfbc1d4f7235258bea4e37dcbf406,1,,,2018-04-24 00:00:00,2018-04-25 03:20:03
