product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
fb4d1630e90ffc0922d25bffe2cd489e,informatica_acessorios,32,1064,1,263,20,16,13
83634a7abf56905fc9ab415328908de2,informatica_acessorios,40,602,1,850,30,15,15
1427b126f61597524866770b05d4eed2,informatica_acessorios,51,378,1,200,17,13,13
9df7c1b358350fe845b77ee08c49600e,informatica_acessorios,42,417,1,825,32,14,16
e53e557d5a159f5aa2c5e995dfdf244b,informatica_acessorios,33,256,1,180,17,10,13
99f5b2240b82bf9387e5cf2fc0335b08,informatica_acessorios,53,422,1,160,19,11,14
e5188da1834c44869e7f0b1b2c0b4c14,informatica_acessorios,49,937,1,3100,43,35,35
b0c8da302d49498d2ce6be8c631e4e20,informatica_acessorios,24,401,1,213,18,12,13
3f14d740544f37ece8a9e7bc8349797e,informatica_acessorios,44,655,1,321,19,14,13
5526b1ae9ab2688cf600783cece249df,informatica_acessorios,49,385,1,200,16,16,16
72f027cff2922e7c85a28976ca21a1bb,informatica_acessorios,42,461,1,850,30,15,15
