order_id,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value
001021efaa8636c29475e7734483457d,1,5d7c23067ed3fc8c6e699b9373d5890b,6560211a19b47992c3666cc44a7e94c0,2018-03-05 09:35:41,49.00,15.10
02d0cd05f04ab2e3c1acc473b0abc865,1,77fa3381855b6763c52ca3b72824f508,6560211a19b47992c3666cc44a7e94c0,2018-03-29 14:30:49,49.00,37.04
03053b1cb20006c7f8160754d56f4f6f,1,3918bb60ff48662029ca9f1e1f7b9842,d57e18d5f73c7ccb7f7339b61166898d,2018-02-23 13:30:46,37.90,16.11
031e9d02ce26fb5bb1f85335708fc70b,1,1ee03eca6034b77b25d08c004bc79dd8,e5a3438891c0bfdb9394643f95273d8e,2018-02-08 22:10:37,41.30,8.27
03b8df6ce0954c5df5e83e0a6caaf5ee,1,362052fcdf7c9e3596a0a6c97536cdc3,b372ee768ed69e46ca8cdbd267aa7a38,2018-02-22 18:28:11,270.00,16.64
0434058c92c9306bb6d1edd50bf3526a,1,87283a98b24f9f1ac3a31b631073cf47,cab85505710c7cb9b720bceb52b01cee,2018-02-20 11:07:19,49.90,14.10
04c35d140fbc805e40f33f6902661c4f,1,87283a98b24f9f1ac3a31b631073cf47,cab85505710c7cb9b720bceb52b01cee,2018-06-19 16:31:57,49.90,15.45
04ffe5a8a70cc5dd6a00b68fd6c905e7,1,7fc59915d9bde9a845801ee04a8658fa,e5a3438891c0bfdb9394643f95273d8e,2018-03-07 17:30:41,20.30,8.11
0583457e98d0d734222af5237cd8fa94,1,e4e5cbc0077aa2c7aacbe435166df909,6560211a19b47992c3666cc44a7e94c0,2018-04-16 15:50:24,49.00,19.04
0635e2196d30b3003d5381ca15cb3d87,1,d017a2151d543a9885604dc62a3d9dcc,6560211a19b47992c3666cc44a7e94c0,2018-05-10 03:30:44,49.00,10.66
06486b73d8d1705c15e0d13f6adcbf84,1,eca26be90d3b3454dd69a13a05bdb46e,6560211a19b47992c3666cc44a7e94c0,2018-01-26 13:50:53,56.00,7.78
06875ab72c5b9bb2eb303a70031bfeb0,1,f4c9a2926d5a2fe099ebbe7d0967bd37,643214e62b870443ccbe55ab29a4dccf,2018-01-17 20:15:47,39.90,7.78
07f6c3baf9ac86865b60f640c4f923c6,1,daa7499d1e545811c843e8189cd30286,e5a3438891c0bfdb9394643f95273d8e,2018-03-08 14:10:38,34.30,15.10
083715659baf44018ac67f7914b85cdb,1,30f2abe62a0f5fb21e4361e83e19f3d8,cab85505710c7cb9b720bceb52b01cee,2018-05-23 12:59:35,79.90,13.00
089b6875058f8f72ecbe2f5afe317910,1,30f2abe62a0f5fb21e4361e83e19f3d8,cab85505710c7cb9b720bceb52b01cee,2018-04-16 21:30:45,79.90,7.42
09e78337fade609c785bdc87f287a535,1,1c1dda7d5b3d50618aadda35edc2acd6,e5a3438891c0bfdb9394643f95273d8e,2018-04-05 11:07:40,34.30,18.23
0a06a0fe44df214d7b351f21a1bb31aa,1,d017a2151d543a9885604dc62a3d9dcc,6560211a19b47992c3666cc44a7e94c0,2018-06-17 21:31:48,49.00,7.39
0a1bbcb7a1af6b58931664e147542a2d,1,06b6d4805b3659e45575c03e57cef6fb,b372ee768ed69e46ca8cdbd267aa7a38,2018-04-12 14:35:11,180.00,19.14
0b1ebd05e50ebf9d1fc97b8b1ed874b7,1,e4e5cbc0077aa2c7aacbe435166df909,6560211a19b47992c3666cc44a7e94c0,2018-03-14 07:28:09,49.00,19.95
11b7adfd63537ace6ab5ede1feb62610,1,d017a2151d543a9885604dc62a3d9dcc,6560211a19b47992c3666cc44a7e94c0,2018-06-29 03:32:23,49.00,13.00
12d5f23ba1e52d7174d5d15c96972401,1,0aed9d548c366ad8058084c1de5100c5,643214e62b870443ccbe55ab29a4dccf,2018-02-27 03:31:06,43.80,11.85
12d67f3bb7022b6f0f96a8189a811564,1,1ec486885049bbb9b79351d150ed18c4,cab85505710c7cb9b720bceb52b01cee,2018-05-11 17:51:54,49.90,7.39
