customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state
8bbcf9a0717a1cb212b45522ef61972c,3078dfe83b099ae6ebe055be3abe0c0d,73035,brasilia,DF
7f6447b2b23e17b3551bec3dcb4f9301,b5e5fa1268db5aa96a5062853fd1891e,20230,rio de janeiro,RJ
6febba3313a197d966a3267abfb5e227,e308f9114426577f05baf25b11250386,80230,curitiba,PR
b8f6bcb3f73c07a92dc1a5c28184e073,6bb3b4d34fb8f3c620d799442a568788,02443,sao paulo,SP
6b3dd49a9dcb03a49f8f7e1848d96a21,bdaae7d0dda6bb655f833ebdceaf178e,29046,vitoria,ES
8abcddf97039e2caa85efc2851cc1270,eee056a1664b2f91466c96a455ceea8b,12940,atibaia,SP
4480661363e0f2f7fa2d1768c3b554c4,6991221485787f31e830a729531c20f2,02440,sao paulo,SP
78fd916635f6a0b05a86a3b62dd67e95,668dc9fde9d42de2f1ac1ddaa7823694,31010,belo horizonte,MG
f056130aa873ce5f257683772009913f,4c43b3b1f461cbefeda06a61e97a65a0,23059,rio de janeiro,RJ
9daf87c91695d8cf63286463cdc69191,121037d818f2d8cc570a32546c7801fe,29122,vila velha,ES
d58d04003ac810adac58890472e3a443,788313d21c3507fe890921f6e17aa679,11070,santos,SP
3d9a21e8e8e7b1840707c7520c023f90,9cf26dc1b20927c3c7f8a7de74e40aed,37070,varginha,MG
898107309c7e33b88d7141ebde723c17,8e23478d59ab253ef04d4d2056ebeb93,89240,sao francisco do sul,SC
adab95af0aaccb5b653ea193a0e073db,86be9ff5cb6382e8c1e92bfc17e0cb85,05267,sao paulo,SP
c33e83f45c633a4da0cefaf88bfc46e9,b3fc17304e79650b12ef436bf5e7e133,07912,francisco morato,SP
3c23b9abaaff0ca38f4116be91be60dd,aaa7c1e124b4e0c8b9244ede5725e604,30580,belo horizonte,MG
ff56a290f17f6ce95604d2e7c1bd3ab3,ea66333f17fa50810ec4c4c27e4b2762,74160,goiania,GO
c2f541cecbc250753c514062f9bcc7ac,9698b239844893ef4075f842c8bcee0b,13234,campo limpo paulista,SP
cf97e9cf454480b303de6736ddd15fd6,9e4accf95024aa6565ca1efcadb96752,08550,poa,SP
4d7554a9ece8963a6e505c6bb9daf108,6633adb088760c36a2e759a0bfa39a10,12912,braganca paulista,SP
3a98b6b07067a82c428f574a415666e7,ad7fb6adbaca43d8f095d703d5a2f686,09761,sao bernardo do campo,SP
93e860f59b9c3f64328ee86718f7612d,a889779509d4d33dc2edb4d1ad4bef38,13208,jundiai,SP
f2466a19138a60af2319a3693c6b2b9e,32fd2eb152c94d2db5fdbbb78d6e0c50,29102,vila velha,ES
1dfd48301b28878efff134d241e05a29,59251607f121873632793ae7192b960a,51240,recife,PE
034b8eb08858f93308717bfab30b54ba,dc691fc6a36871dce71e9b32490a4362,13183,hortolandia,SP
70868ddda788fcb4c2b9f49958ce130e,dee6ba013f0981441efdcef8142eb23b,09321,maua,SP
0eb95372a58d93d987ae574866f866c8,6b16013d555315b2a32a7432815d37da,15993,matao,SP
7f36678ad8351e4547c54479409bcb39,dd4d0aa54d99481b8509487235632af8,55500,escada,PE
42b14764e9cf800aec2f02be2a085514,e8606b2433ed009a32f7a35dcbc84d83,20030,rio de janeiro,RJ
75f3a226bfc1e775f68bb6a49bd7782a,8ad6a8a3e0dcdea9e515790d770bbefb,21550,rio de janeiro,RJ
673b4323290db500f41f08839f6d62eb,a03aab593e073c597b0d88ff2b17fd41,25850,paraiba do sul,RJ
0c5fac92d05500d45585d4a0ea36eea2,dfbb280b05ea506dc2d14628e635d797,79140,nova alvorada do sul,MS
85e677b42832578c7a3a28e6830ab52d,12ea013dfd45b702e5804f11cab02d35,50750,recife,PE
cd8038ca905be15371c29a2c7901eccc,9a3ccfd1bca7f2dbe51163128b8ea36d,22250,rio de janeiro,RJ
1d90bd47cc4020de6b135b4f1fef7995,4638fb22258d40350d7125a3172bd232,03277,sao paulo,SP
a5fc87720b2ee6dd805edc6cf48d2e18,29b0b21f7392f0a825de546f28d621bb,01404,sao paulo,SP
30bf893018e91309b87a1beba9915f56,1ba48b4d4efc54779417f549fc4f8a89,03442,sao paulo,SP
e1962dab54d985f90ad2a139dc2f5e54,037f1240d3a139aef654264b518eb7e1,28960,iguaba grande,RJ
